date,stock_code,action,shares,price,cost,cash_after,proceeds,profit,profit_pct
2024-10-16,601607.SH,SELL,900,19.99268911873504,,110951.00010665742,17970.028760592617,-414.32460620218626,-0.02253680605109154
2024-10-16,002603.SZ,BUY,2500,16.222405973133757,40568.44135381421,70382.55875284321,,,
2024-10-17,600188.SH,BUY,1800,14.508887944870176,26123.881089599756,44258.67766324345,,,
2024-10-17,603369.SH,BUY,300,43.08158321325648,12929.431899562245,31329.245763681203,,,
2024-10-17,000963.SZ,SELL,1500,31.409457607937938,,78382.18373325263,47052.93796957143,-1772.3009018077646,-0.0362988680193978
2024-10-17,000568.SZ,BUY,200,125.14916353234966,25038.611446737716,53343.572286514915,,,
2024-10-18,601888.SH,BUY,200,66.70170538348718,13346.315513026648,39997.25677348827,,,
2024-10-18,601390.SH,BUY,2300,6.277949205381542,14443.762832319571,25553.493941168697,,,
2024-10-18,601377.SH,BUY,1500,6.309336777603757,9466.867136761135,16086.626804407562,,,
2024-10-18,601111.SH,BUY,800,6.98698,5591.385689003476,10495.241115404086,,,
2024-10-21,600837.SH,SELL,100,12.3876,,11732.390727404085,1237.149612,330.09190528869215,0.36391499994581006
2024-10-21,601857.SH,SELL,2900,8.00620234253283,,34920.19413791795,23187.80341051386,-846.6482726599606,-0.035226444265116605
2024-10-21,601211.SH,SELL,600,18.7495271506298,,46155.28579711833,11235.091659200387,2962.964338935053,0.3581865007899823
2024-10-21,000661.SZ,BUY,100,101.18234852965067,10123.40420710525,36031.88159001309,,,
2024-10-21,000333.SZ,SELL,200,70.15382304010211,,50044.40620404308,14012.524614029995,1633.217632148635,0.13193126517817597
2024-10-21,002415.SZ,BUY,600,29.661002421748712,17802.206385484074,32242.199818559006,,,
2024-10-21,002475.SZ,SELL,500,45.12077424833004,,54773.25843946261,22531.058620903605,1528.1009080960466,0.07275646263688919
2024-10-22,600600.SH,BUY,300,67.35346706109947,20212.174678335163,34561.08376112745,,,
2024-10-22,601899.SH,SELL,3200,17.636799535994857,,90925.47319024126,56364.389429113806,1693.4456334598435,0.03097524051879388
2024-10-22,600030.SH,SELL,1900,27.185313735042474,,142510.4215618964,51584.94837165515,17121.69285434552,0.49681008359021467
2024-10-23,601012.SH,BUY,2700,19.599579999999996,52934.82705028919,89575.5945116072,,,
2024-10-24,600132.SH,BUY,500,56.17003231379655,28095.048549989355,61480.54596161784,,,
2024-10-24,600085.SH,BUY,500,38.90045229374433,19457.111917576836,42023.434044041,,,
2024-10-24,000858.SZ,BUY,100,136.89749411854436,13694.456001988341,28328.97804205266,,,
2024-10-25,000538.SZ,SELL,300,54.03193160242555,,44517.485069455375,16188.507027402718,942.5029298552035,0.061819669194947635
2024-10-25,002714.SZ,BUY,400,40.96160964947622,16389.629781592943,28127.855287862432,,,
2024-10-28,002074.SZ,BUY,400,23.108861524277813,9246.694906425264,18881.16038143717,,,
2024-10-28,000876.SZ,BUY,700,9.960284126835862,6974.313563256372,11906.846818180798,,,
2024-10-30,002007.SZ,BUY,200,15.907199329553473,3182.773422985103,8724.073395195695,,,
2024-10-31,002074.SZ,SELL,400,22.674328613135483,,17782.01418957106,9057.940794375363,-185.6038153357622,-0.02007929026931613
2024-11-01,600588.SH,BUY,600,10.92091,6554.537570999597,11227.476618571462,,,
2024-11-04,601377.SH,SELL,1500,6.462178039439026,,20908.142430553096,9680.665811981635,216.6606455759993,0.0228931241864786
