,股票代码,数据条数,起始日期,结束日期,平均收盘价,收盘价标准差,平均日收益率(%),收益率标准差(%),平均成交量,平均换手率(%),最大涨幅(%),最大跌幅(%)
62,600588.SH,2428,2016-01-04,2025-12-31,19.49017736394513,10.398430628363826,-0.056721952224052706,2.4524964058032652,279573.970708402,0.0,7.3434,-7.3763
63,600600.SH,2430,2016-01-04,2025-12-31,59.41930115632797,25.153929579352553,0.0033528395061728413,1.9478871622549094,56443.00171604939,0.0,7.3518,-6.8867
64,600690.SH,2408,2016-02-01,2025-12-31,18.519624163427046,6.438392837499791,0.050762832225913615,1.9275091385784617,381871.70533637877,0.0,7.0214,-6.89
65,600745.SH,2169,2016-01-04,2025-12-31,56.67197747475833,34.768210418917874,-0.06776445366528355,2.476591487028202,183502.62314430616,0.0,7.32,-7.3387
66,600809.SH,2418,2016-01-04,2025-12-31,137.5540456483486,101.07473304953324,0.1292815136476427,2.279517333166547,64183.36060794044,0.0,7.3189,-7.3223
67,600837.SH,2189,2016-01-04,2025-02-05,10.87510159591289,1.861447191634672,-0.021348698035632708,1.6200305227518175,494608.40935130196,0.0,7.1865,-7.2774
68,600887.SH,2406,2016-01-04,2025-12-31,24.5134743898461,6.48884129996688,0.04902136325852037,1.7536089136657922,516276.6042643391,0.0,7.32,-7.376
69,600900.SH,2413,2016-01-04,2025-12-31,17.419927892157187,6.120168278957962,0.04935735598839619,1.083866144352293,420227.4565520099,0.0,6.81,-6.0
70,601006.SH,2430,2016-01-04,2025-12-31,5.314778790900267,0.8291661448133074,0.012778518518518515,1.1011204819451061,477915.7501481482,0.0,5.98,-7.06
71,601012.SH,2423,2016-01-04,2025-12-31,22.440659584280574,18.052956622043503,0.07416198926950063,2.378961020981943,592596.2843788691,0.0,7.3059,-7.3529
72,601088.SH,2356,2016-01-04,2025-12-31,18.84469242205803,10.576249611606348,0.056158531409168086,1.7197887420005684,286626.78342954157,0.0,7.32,-7.0
73,601100.SH,2430,2016-01-04,2025-12-31,43.77585339105759,29.916429077074984,0.08358094650205761,2.451135612654096,59407.25897530864,0.0,7.35,-7.37
74,601111.SH,2429,2016-01-04,2025-12-31,8.380567165311438,1.4060611191288832,0.02476652943598188,2.048444217588963,530576.2753684643,0.0,7.22,-6.9948
75,601166.SH,2425,2016-01-04,2025-12-31,14.105783620738658,3.30191743100776,0.0321677113402062,1.4223866712473074,707695.2014515464,0.0,7.2027,-6.9965
76,601211.SH,2411,2016-01-04,2025-12-31,14.661134927995018,1.8983924180750928,0.013927498963085856,1.4958235747766517,375788.629867275,0.0,7.2353,-7.01
77,601225.SH,2430,2016-01-04,2025-12-31,10.46341861556726,6.884652254545096,0.07390942386831276,2.0993228655463554,482236.69979012344,0.0,7.2776,-7.2763
78,601288.SH,2430,2016-01-04,2025-12-31,2.931922270699251,1.2915008353311928,0.061504855967078186,1.0501304059118683,893142.398514403,0.0,7.1225,-5.7441
79,601318.SH,2430,2016-01-04,2025-12-31,45.76699199784991,12.964718053417698,0.03669135802469136,1.614773472883197,617834.7933333335,0.0,6.4611,-6.923
80,601377.SH,2415,2016-01-07,2025-12-31,6.088536703386044,1.0437159919639492,-0.01490091097308489,1.7677303028656342,652134.622563147,0.0,7.2485,-7.3027
81,601390.SH,2356,2016-01-04,2025-12-31,5.6416098870886255,0.8323020414925651,-0.01741430390492359,1.5949715082611158,710581.8004202037,0.0,7.154,-6.42
82,601398.SH,2430,2016-01-04,2025-12-31,4.160303448531647,1.2197803620381418,0.04689818930041152,1.0698736975956227,966294.2824074072,0.0,6.3063,-5.81
83,601601.SH,2430,2016-01-04,2025-12-31,25.916788225394914,5.148064331044565,0.03507176954732511,1.9412129278491894,280802.5518930041,0.0,7.2902,-7.0973
84,601607.SH,2430,2016-01-04,2025-12-31,17.72888384451298,1.9893582560832157,-0.007754485596707808,1.6251450508054075,148184.61263374487,0.0,7.0666,-7.22
85,601628.SH,2430,2016-01-04,2025-12-31,28.61438579130474,7.104078636151837,0.0020581893004115175,1.898540395412861,154616.09395473253,0.0,7.337,-7.2158
86,601668.SH,2430,2016-01-04,2025-12-31,4.489107620837656,0.7333820011237072,0.014528189300411528,1.5762929644887331,1015524.8638641974,0.0,7.1291,-6.76
87,601688.SH,2430,2016-01-04,2025-12-31,14.917254396159441,2.448584053094748,0.005719423868312751,1.7522998091167348,596950.5747572016,0.0,7.2306,-7.35
88,601766.SH,2420,2016-01-04,2025-12-31,6.3951857329570485,1.2767702265163812,-0.020352438016528928,1.4898605010115602,661188.7054752066,0.0,7.1829,-6.8681
89,601857.SH,2430,2016-01-04,2025-12-31,5.598867931276727,1.6799520432231458,0.039800740740740734,1.4779772519919891,825739.3535925925,0.0,7.33,-6.9337
90,601888.SH,2430,2016-01-04,2025-12-31,102.70886898590611,76.25282973472869,0.014311604938271591,2.22841901104035,136129.11461316873,0.0,7.3465,-7.26
91,601898.SH,2430,2016-01-04,2025-12-31,6.407884427514129,3.00442535133504,0.04367921810699588,1.9304159969446972,277078.69436625513,0.0,7.3506,-7.0055
92,601899.SH,2424,2016-01-04,2025-12-31,8.4810797764609,6.353939174742834,0.08199022277227723,2.1248507137557597,1008340.0596864686,0.0,7.34,-7.1033
93,601939.SH,2430,2016-01-04,2025-12-31,5.2083212275605915,1.5416007227020303,0.04561835390946502,1.2130566512781396,875617.0558518518,0.0,7.03,-5.96
94,601985.SH,2430,2016-01-04,2025-12-31,6.286688678615483,1.7949583501345014,0.013087448559670783,1.4810760692098144,651502.4544403291,0.0,7.3379,-7.113
95,603288.SH,2430,2016-01-04,2025-12-31,44.96126505971119,23.95289553569661,0.0521980658436214,1.8616681659024261,62626.42744032922,0.0,7.1092,-6.7916
96,603369.SH,2430,2016-01-04,2025-12-31,33.66489874648523,16.027505370637314,0.07478316872427983,2.239282727567406,93336.70235390945,0.0,7.3352,-7.1451
